,count,mean,std,min,25%,50%,75%,max
bmi,177.0,25.471,4.396,12.418,23.011,25.1,28.3,38.9
age,177.0,30.124,5.292,21.0,27.0,29.0,33.0,47.0
waist_hip_ratio,177.0,0.893,0.046,0.756,0.864,0.897,0.927,0.979
amh,177.0,7.845,7.791,0.1,2.6,5.9,10.2,66.0
lh_fsh_ratio,177.0,3.271,34.986,0.003,0.3,0.491,0.928,466.051
tsh,177.0,2.927,2.823,0.05,1.57,2.31,3.51,22.59
prl,177.0,24.432,13.887,3.64,14.13,22.9,30.33,111.74
rbs,177.0,101.137,23.633,70.0,92.0,100.0,107.0,350.0
total_follicles,177.0,20.548,7.584,2.0,16.0,20.0,25.0,41.0
avg_f_size_l,177.0,15.698,2.731,5.0,14.0,16.0,18.0,24.0
avg_f_size_r,177.0,15.916,3.089,0.17,14.0,16.0,18.0,23.0
endometrium,177.0,8.807,1.924,4.5,7.6,8.9,10.0,15.0
