term,estimate,std_error,p_value,conf_low,conf_high
Intercept,9.35469,6.283122,0.138456,-3.052119,21.761498
C(cycle_group)[T.Regular],-0.653022,0.616697,0.29121,-1.870766,0.564722
age,0.0722,0.060842,0.237086,-0.047941,0.192341
waist_hip_ratio,11.341429,6.968747,0.105569,-2.419231,25.10209
amh,0.016256,0.039184,0.678791,-0.061117,0.093628
lh_fsh_ratio,0.00363,0.008537,0.671207,-0.013226,0.020487
tsh,0.101592,0.104157,0.330824,-0.10408,0.307263
prl,0.00726,0.021863,0.74028,-0.035912,0.050431
rbs,0.000931,0.012567,0.941047,-0.023884,0.025746
weight_gain,4.321351,0.685828,0.0,2.967098,5.675605
fast_food,0.965265,0.769687,0.211601,-0.554578,2.485109
regular_exercise,-0.352484,0.69751,0.613999,-1.729804,1.024837
total_follicles,-0.010659,0.0389,0.784426,-0.087471,0.066154
